indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",NCD_BMI_25A,Kenya,KEN,2001,11.967769,12.0,[8.6-15.9],Male,Urban,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2012,,Yes,,Health warnings on smokeless tobacco packaging law requires or establishes fines for violations,Rural,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2017,22035.067,22 035,[18 334-25 499],Both sexes,Total,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,1990,3446,3446,[2497-4545],Female,Total,Total
"Zero vegetable or fruit consumption, 6-23 months",NUT_CF_ZVF,Kenya,KEN,2014,28.4,28.4,[25.5-31.6],Female,Urban,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2008,5.089445,5.1,[2.1-9.8],Female,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2018,0,0,[0 - 1.1],Urban,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2023,0.9,0.9,[0 - 3.4],Rural,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2000,14.3,14.3,[11.3-17.9],Female,Rural,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2003,2.5,2.5,[1.3-4.6],24 to 29 months,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2017,219.2816,219.3,,Both sexes,Total,Total
Total NCD Deaths,NCD_DTH_TOT,Kenya,KEN,2005,28472,28 500,[18 100-44 400],Male,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2004,0.97976,1,,1-59 months,Total,Total
"Alcohol, abstainers past 12 months (%), age-standardized",SA_0000001411,Kenya,KEN,2005,79.9284931,79.9,[77.5 - 82.4],Female,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2015,6.84054,6.8,,0-4 years of age,Urban,Total
"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",NCD_BMI_18A,Kenya,KEN,1995,12.746961,12.7,[10.2-15.6],Female,Rural,Total
Insufficiently active (crude estimate),NCD_PAC_ADO,Kenya,KEN,2006,85.16694,85.2,[82.5-87.5],Male,Total,Total
"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",SDGAIRBODA,Kenya,KEN,2011,34.421,34,[27-41],Both sexes,Total,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2014,12.826,13,[4-23],Male,Urban,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2006,8995.73064,8995.7,,Both sexes,Total,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2018,,No,,The quit line number must appear on other smoked tobacco packaging or labelling,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2000,1.3,1.3,[0.4-3.9],Male,Urban,Total
Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),PCV3,Kenya,KEN,2012,82,82,,,Rural,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,1993,2.8,2.8,[1.2-6.2],Male,Total,Total
Domestic private health expenditure (PVT-D) as percentage of current health expenditure (CHE) (%),GHED_PVT-DCHE_SHA2011,Kenya,KEN,2015,41.69890594,41.7,,,Total,Total
Tobacco Offer help: O2 Availability of tobacco cessation medications,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Kenya,KEN,2022,,. . .,,Cytisine - legally sold,Urban,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2012,10.956,11,[4-20],Both sexes,Total,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2008,,No,,Qualitative information on emission yields must be displayed on one/more principle display areas of other smoked tobacco packaging,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2014,5.7,5.7,[4.6-6.9],Female,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2003,41.8,41.8,[37.9-45.9],Male,Rural,Total
"Household air pollution attributable DALYs (per 100 000, age-standardized)",AIR_39,Kenya,KEN,2010,45.904,46,[39-52],Both sexes,Total,Total
Tobacco MPOWER Protect people: P1 smoke-free places (national legislation),TOBACCO_MPOWER_P1_SMOKEFREEPLACES,Kenya,KEN,2016,,No,,Smoke-free restaurants,Total,Total
"Household air pollution attributable DALYs (per 100 000, age-standardized)",AIR_39,Kenya,KEN,2010,34.378,34,[30-38],Female,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2005,47.2,47.2,[43.1-51.4],Male,Total,Total
Tobacco Offer help: O2 Availability of tobacco cessation medications,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Kenya,KEN,2016,,Yes,,Bupropion - legally sold,Total,Total
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),CHILDMORT5TO14,Kenya,KEN,2017,6.83953964,6.8,[5.3-8.8],Both sexes,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2000,40.7,40.7,[37.0-44.5],Female,Rural,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1998,0.8,0.8,[0 - 3.4],Total,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2011,26.3,26.3,,Total (All ages),Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2000,3.553698182,3.55,[2.08 - 4.81],Urban,Urban,Total
Number of under-five deaths,CM_01,Kenya,KEN,1995,19541,19 541,[17 453-21 845],Both sexes,Total,Total
Crude suicide rates (per 100 000 population),SDGSUICIDE,Kenya,KEN,2008,3.097656191,3.1,[2.3-4.2],Female,Total,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2010,4828.483,4828,[4214-5431],Male,Urban,Total
"Substance use disorders service coverage, availability and quantity of specialized human workforce",SCSUD_HWFAVAILABILITY,Kenya,KEN,2023,0,0,,41_03_addiction_counsellor_number,Rural,Total
Population with primary reliance on polluting fuels and technologies for cooking (in millions),PHE_HHAIR_POP_POLLUTING_FUELS,Kenya,KEN,2010,38.64506874,38.65,[35.19 - 40.6],Total,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2015,2.18466,2.2,,0-4 years of age,Total,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2018,13,13,,Number of health warnings approved by the law for other smoked tobacco packaging,Urban,Total
Ambient air pollution attributable deaths,AIR_41,Kenya,KEN,2018,218.492,218,[45-530],Male,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2003,17997.19445,17 997,,Both sexes,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1990,79.8,79.8,[63.3 - 90.9],Total,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1993,0,0,[0 - 0.4],Rural,Rural,Total
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Kenya,KEN,2023,4671.6,4671.6,[2018.5-7969.0],Female,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2003,4.3,4.3,[3.0-6.2],6 to 11 months,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2019,2.6908878,2.7,[1.4-4.6],Female,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2008,4.4,4.4,[2.8-6.9],Female,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1978,1.21,1.21,,Spirits,Total,Total
Reported number of people requiring interventions against NTDs,SDGNTDTREATMENT,Kenya,KEN,2022,7842727,7 842 727,,,Urban,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2013,4.0187899,4.0,[1.0-9.6],Male,Rural,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2003,23.7,23.7,[19.0-29.1],Male,Total,Total
Age-standardized suicide rates (per 100 000 population),MH_12,Kenya,KEN,2009,17.3909166,17.4,[13.8-23.7],Male,Total,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2016,18001.5,18 002,[6607-31 472],Female,Urban,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,1997,3.5623856,3.6,[1.7-6.4],Both sexes,Total,Total
Minimum Meal Frequency 6-23 months,NUT_CF_MMF,Kenya,KEN,2014,56.6,56.6,[50.9-62.1],Secondary education,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2016,34.5,34.5,[30.8-38.4],24 to 29 months,Urban,Total
Number of malaria positive cases by microscopy,MALARIA_MICR_POS,Kenya,KEN,2016,1569045,1 569 045,,,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1993,54.1,54.1,[48.6-59.5],Male,Total,Total
Exclusive breastfeeding under six months,NUT_BF_EBF,Kenya,KEN,2008,50.3,50.3,[29.9-70.5],Higher education,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2015,0.157064064,0.16,[0.01 - 0.51],Urban,Urban,Total
Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),WHOSIS_000016,Kenya,KEN,2016,4.644356244,4.6,[3.7-5.7],Male,Total,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2012,4764.473,4764,[3923-5528],Male,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2013,2.9498,2.9,,1-59 months,Urban,Total
Neonatal mortality rate (per 1000 live births),WHOSIS_000003,Kenya,KEN,2015,23.53501354,23.5,[21.1-26.4],Both sexes,Rural,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,2013,12.120654,12.1,[10.4-13.9],Female,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1971,139.9341547,139.9,[130.3-150.3],Female,Total,Total
Ambient air pollution attributable deaths,AIR_41,Kenya,KEN,2015,29.337,29,[11-56],Both sexes,Urban,Total
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Kenya,KEN,2016,3022.5,3022.5,[1504.4-5052.6],Female,Total,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,2007,1,1.0,[0.9-1.2],Male,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2013,2986.721591,2987,,Both sexes,Urban,Total
"Household air pollution attributable DALYs (per 100 000, age-standardized)",AIR_39,Kenya,KEN,2011,1598.112,1598,[1258-1858],Both sexes,Rural,Total
Reported number of individuals treated for onchocerciasis,NTD_ONCTREAT,Kenya,KEN,2012,,No PC required,,,Total,Total
Number of neonatal deaths,CM_03,Kenya,KEN,2001,33479,33 479,[30 438-36 788],Both sexes,Total,Total
Continued breastfeeding 12-23 months,NUT_BF_CBF,Kenya,KEN,2008,69.9,69.9,[63.5-75.6],Male,Urban,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2024,,No,,Health warnings on smokeless tobacco packaging do not remove or diminish the liability of the tobacco industry,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2012,64.3,64.3,[50.7 - 76.2],Total,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2011,32.9,32.9,[15.2 - 54.6],Urban,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2008,38.8,38.8,[33.7-44.2],36 to 41 months,Rural,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2016,0.00396,0,,1-59 months,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2005,18,18.0,[16.6-19.5],Total,Total,Total
"Alcohol, consumers past 12 months (%), age-standardized",SA_0000001413,Kenya,KEN,2011,29.4261375,29.4,[27.3 - 31.6],Both sexes,Urban,Total
Population with primary reliance on polluting fuels and technologies for cooking (in millions),PHE_HHAIR_POP_POLLUTING_FUELS,Kenya,KEN,1998,23.24182446,23.24,[22.92 - 23.34],Rural,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,1993,7.9,7.9,[4.6-13.0],Female,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2011,2.5937848,2.6,[0.8-6.0],Female,Urban,Total
Joint effects of air pollution attributable deaths,AIR_35,Kenya,KEN,2015,4511.91,4512,[3494-5354],Both sexes,Rural,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2008,2.4,2.4,[1.7-3.4],36 to 59 months,Total,Total
Number of deaths among children 5 to 14 years of age,CHILDDEATH5TO14,Kenya,KEN,1996,6972,6972,[5950-8323],Female,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,1997,29549,29 549,[26 581-32 728],Both sexes,Urban,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2003,0,0,,Both sexes,Total,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2010,1696.727,1697,[1357-2057],Male,Total,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,2010,5.4629274,5.5,[3.4-7.9],Both sexes,Urban,Total
Number of people who received treatment with antibiotics for trachoma,NTD_8,Kenya,KEN,2006,,No data,,,Rural,Total
Prevention programmes for alcohol,RSUD_580,Kenya,KEN,2014,,Yes,,Advertisements in public places (posters etc.),Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,1993,6.6,6.6,[4.8-9.1],24 to 29 months,Total,Total
Life expectancy at age 60 (years),WHOSIS_000015,Kenya,KEN,2000,18.72554509,18.7,[18.2-19.4],Female,Urban,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2020,2.3803549,2.4,[1.5-3.5],Female,Total,Total
Tuberculosis - new and relapse cases,TB_c_newinc,Kenya,KEN,2005,102680,102 680,,,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1998,130.9496734,130.9,[117.6-145.4],Both sexes,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2016,1.89374,1.9,,1-59 months,Rural,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1990,0,0,[0 - 1],Rural,Total,Total
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),GHED_GGHE-DGGE_SHA2011,Kenya,KEN,2017,6.79240465,6.79,,,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,2009,12583,12 583,[10 945-14 421],Both sexes,Urban,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2011,132188.709,132 189,[68 454-213 251],Male,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2017,7936.840484,7937,,Both sexes,Total,Total
"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",FINANCIALHARDSHIP_PROPORTIONOFPOP,Kenya,KEN,2005,32.74437714,32.74,,Impoverishing spending (Component 2),Urban,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2020,,No,,Display of expiry dates is prevented on other smoked tobacco packaging,Rural,Total
UHC Service Coverage sub-index on service capacity and access,UHC_SCI_CAPACITY,Kenya,KEN,2003,36,36,,,Total,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,2007,11.931882,11.9,[9.2-15.0],Male,Total,Total
Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),NCD_PAA,Kenya,KEN,2016,10.471499,10.5,[5.1-17.9],Female,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2003,4.1,4.1,[2.2-7.7],Female,Total,Total
Recommendations for screening and brief interventions for substance use in antenatal services,RSUD_560,Kenya,KEN,2014,,No data,,Tobacco,Total,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2018,,No,,Display of expiry dates is prevented on smokeless tobacco packaging,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2022,2.2,2.2,[1.6-3.0],Female,Rural,Total
